#  Z   A El rea        E1       DE1        E2       DE2     E1def    DE1def     E2def    DE2def
  12   0 Mg 1a    22.5500    0.2100    0.0000    0.0000   19.8873    0.0000   27.4907    0.0000
  12   0 Mg 1b    20.0800    0.1600    0.0000    0.0000   18.1626    0.0000   24.4409    0.0000
  13  27 Al 0     20.7300    0.0800    0.0000    0.0000   17.7406    0.0000   23.8730    0.0000
  13  27 Al 0     20.7100    0.0600    0.0000    0.0000   18.7614    0.0000   31.1833    0.0000
  13  27 Al 0     20.8500    0.0600    0.0000    0.0000   18.7614    0.0000   31.1833    0.0000
  13  27 Al 0     20.8400    0.0600    0.0000    0.0000   18.7614    0.0000   31.1833    0.0000
  13  27 Al 3a    20.5800    0.0700    0.0000    0.0000   18.7614    0.0000   31.1833    0.0000
  13  27 Al 4     20.7700    0.0200    0.0000    0.0000   18.7614    0.0000   31.1833    0.0000
  14  28 Si 3a    19.8100    0.1200   21.8100    0.1600   18.6420    0.0000   30.9849    0.0000
  14  28 Si 3b    19.7300    0.2100   21.5600    0.3600   18.5103    0.0000   32.1625    0.0000
  14  28 Si 3a    18.8400    0.1300   20.9500    0.1000   18.5103    0.0000   32.1625    0.0000
  14  28 Si 3b    19.0500    0.3200   20.9300    0.2200   18.5103    0.0000   32.1625    0.0000
  14  29 Si 3a    20.7000    0.0800    0.0000    0.0000   18.3733    0.0000   31.9245    0.0000
  14  29 Si 3b    20.7300    0.1200    0.0000    0.0000   19.2510    0.0000   26.0310    0.0000
  14  30 Si 3a    20.8600    0.1300    0.0000    0.0000   19.0930    0.0000   25.8173    0.0000
  14  30 Si 3b    20.9100    0.1900    0.0000    0.0000   20.7395    0.0000    0.0000    0.0000
  14   0 Si 0     20.3500    0.0300   25.1600    0.1900   21.0669    0.0000    0.0000    0.0000
  16  32 S  0     19.5100    0.0800    0.0000    0.0000   18.0344    0.0000   31.3356    0.0000
  16  32 S  3a    21.1700    0.0900    0.0000    0.0000   20.5253    0.0000    0.0000    0.0000
  16  32 S  3b    21.5100    0.1400    0.0000    0.0000   20.5253    0.0000    0.0000    0.0000
  16  34 S  0     20.8900    0.4700    0.0000    0.0000   20.2480    0.0000    0.0000    0.0000
  16  34 S  3a    21.1300    0.1000    0.0000    0.0000   20.2480    0.0000    0.0000    0.0000
  16  34 S  3b    21.5700    0.1900    0.0000    0.0000   20.2480    0.0000    0.0000    0.0000
  16  34 S  3a    21.2900    0.1100    0.0000    0.0000   20.2480    0.0000    0.0000    0.0000
  16  34 S  3b    21.5700    0.2200    0.0000    0.0000   20.2480    0.0000    0.0000    0.0000
  16   0 S  0     20.3100    0.1000    0.0000    0.0000   20.5253    0.0000    0.0000    0.0000
  18  40 Ar 3a    19.8600    0.1500    0.0000    0.0000   19.5464    0.0000    0.0000    0.0000
  18  40 Ar 3b    20.1200    0.3700    0.0000    0.0000   19.5464    0.0000    0.0000    0.0000
  19   0 K  13    21.1200    0.0200    0.0000    0.0000   19.7368    0.0000    0.0000    0.0000
  20  40 Ca 0     20.5800    0.1100    0.0000    0.0000   19.6449    0.0000    0.0000    0.0000
  20  40 Ca 3a    20.1200    0.0500    0.0000    0.0000   19.6449    0.0000    0.0000    0.0000
  20  40 Ca 3b    20.0600    0.1000    0.0000    0.0000   19.6449    0.0000    0.0000    0.0000
  20  42 Ca 3a    20.1100    0.1000    0.0000    0.0000   19.4343    0.0000    0.0000    0.0000
  20  42 Ca 3b    20.2300    0.1600    0.0000    0.0000   19.4343    0.0000    0.0000    0.0000
  20  44 Ca 3a    19.6000    0.1800    0.0000    0.0000   19.1982    0.0000    0.0000    0.0000
  20  44 Ca 3b    19.9500    0.3300    0.0000    0.0000   19.1982    0.0000    0.0000    0.0000
  20  48 Ca 0     19.7000    0.1400    0.0000    0.0000   18.6828    0.0000    0.0000    0.0000
  20  48 Ca 3a    19.7500    0.1300    0.0000    0.0000   18.6828    0.0000    0.0000    0.0000
  20  48 Ca 3b    19.6200    0.2200    0.0000    0.0000   18.6828    0.0000    0.0000    0.0000
  20   0 Ca 0     20.0600    0.0200    0.0000    0.0000   19.6449    0.0000    0.0000    0.0000
  20   0 Ca 0     19.9300    0.0300    0.0000    0.0000   19.6449    0.0000    0.0000    0.0000
  20   0 Ca 0     19.5900    0.0300    0.0000    0.0000   19.6449    0.0000    0.0000    0.0000
  20   0 Ca 1a    20.5200    0.0800    0.0000    0.0000   19.6449    0.0000    0.0000    0.0000
  20   0 Ca 1b    20.2900    0.1200    0.0000    0.0000   19.6449    0.0000    0.0000    0.0000
  20   0 Ca 2     19.9800    0.0400    0.0000    0.0000   19.6449    0.0000    0.0000    0.0000
  22  46 Ti 3a    19.9600    0.0800    0.0000    0.0000   19.0907    0.0000    0.0000    0.0000
  22  46 Ti 3b    19.7900    0.2000    0.0000    0.0000   19.0907    0.0000    0.0000    0.0000
  22  48 Ti 3a    19.7800    0.1700    0.0000    0.0000   18.8819    0.0000    0.0000    0.0000
  22  48 Ti 3b    19.9000    0.3800    0.0000    0.0000   18.8819    0.0000    0.0000    0.0000
  23  51 V  4     17.9000    0.0600   21.2600    0.1300   18.6302    0.0000    0.0000    0.0000
  23  51 V  3a    17.7100    0.1300   22.0300    0.5900   18.6302    0.0000    0.0000    0.0000
