#
#Z	N	BET01	DELB01	GAM01	DELG01	delta-Z	delta-N	beta-eff	
10	8	0.393	0.087	27	13	2	0	0.393	0
10	10	0.398	0.087	24	13	2	2	0.398	0
10	12	0.45	0.098	24	12	2	4	0.45	0
10	14	0.392	0.085	27	13	2	6	0.392	0
10	16	0.385	0.09	27	13	2	4	0.385	0
10	18	0.374	0.096	26	13	2	2	0.374	0
10	20	0.355	0.073	26	13	2	0	0.355	0
10	22	0.36	0.083	25	13	2	2	0.36	0
10	24	0.395	0.086	22	13	2	4	0.395	0
12	8	0.372	0.071	28	13	4	0	0.372	0
12	10	0.41	0.082	25	13	4	2	0.41	0
12	12	0.376	0.066	27	13	4	4	0.376	0
12	14	0.412	0.081	28	13	4	6	0.412	0
12	16	0.403	0.086	27	13	4	4	0.403	0
12	18	0.386	0.091	26	13	4	2	0.386	0
12	20	0.356	0.072	27	13	4	0	0.356	0
12	22	0.37	0.079	25	12	4	2	0.37	0
12	24	0.363	0.071	24	12	4	4	0.363	0
12	26	0.446	0.1	20	11	4	2	0.446	0
12	28	0.402	0.08	24	12	4	0	0.402	0
14	10	0.402	0.085	27	13	6	2	0.402	0
14	12	0.414	0.081	28	13	6	4	0.414	0
14	14	0.405	0.087	27	11	6	6	0.405	0
14	16	0.398	0.09	29	13	6	4	0.398	0
14	18	0.371	0.093	28	13	6	2	0.371	0
14	20	0.345	0.072	29	13	6	0	0.345	0
14	22	0.377	0.093	28	13	6	2	0.377	0
14	24	0.351	0.074	28	13	6	4	0.351	0
14	26	0.392	0.087	29	13	6	2	0.392	0
14	28	0.375	0.089	33	12	6	0	0.375	0
14	30	0.343	0.083	33	13	6	2	0.343	0
14	32	0.323	0.082	31	13	6	4	0.323	0
14	34	0.334	0.077	31	13	6	6	0.334	0
16	10	0.391	0.087	27	13	4	2	0.391	0
16	12	0.445	0.102	26	13	4	4	0.445	0
16	14	0.401	0.089	29	13	4	6	0.401	0
16	16	0.34	0.075	30	13	4	4	0.34	0
16	18	0.343	0.098	28	13	4	2	0.343	0
16	20	0.312	0.071	29	13	4	0	0.312	0
16	22	0.312	0.075	27	13	4	2	0.312	0
16	24	0.33	0.077	26	13	4	4	0.33	0
16	26	0.349	0.091	23	13	4	2	0.349	0
16	28	0.328	0.08	27	12	4	0	0.328	0
16	30	0.315	0.082	29	13	4	2	0.315	0
16	32	0.3	0.084	29	13	4	4	0.3	0
16	34	0.291	0.07	29	13	4	6	0.291	0
16	36	0.317	0.09	28	13	4	8	0.317	0
18	14	0.378	0.09	29	13	2	6	0.378	0
18	16	0.349	0.096	28	13	2	4	0.349	0
18	18	0.304	0.076	28	12	2	2	0.304	0
18	20	0.297	0.079	28	13	2	0	0.297	0
18	22	0.305	0.099	26	13	2	2	0.305	0
18	24	0.312	0.089	25	13	2	4	0.312	0
18	26	0.311	0.088	26	13	2	2	0.311	0
18	28	0.276	0.073	30	12	2	0	0.276	0
18	30	0.267	0.079	31	13	2	2	0.267	0
18	32	0.263	0.078	32	13	2	4	0.263	0
18	34	0.266	0.077	32	12	2	6	0.266	0
18	36	0.275	0.077	31	13	2	8	0.275	0
18	38	0.278	0.076	30	13	2	10	0.278	0
18	40	0.286	0.073	29	13	2	10	0.286	0
18	42	0.307	0.093	27	13	2	8	0.307	0
18	44	0.304	0.08	27	13	2	6	0.304	0
20	16	0.32	0.073	29	13	0	4	0.32	0
20	18	0.278	0.107	27	13	0	2	0.278	0
20	20	0.327	0.128	25	12	0	0	0.327	0
20	22	0.251	0.106	25	13	0	2	0.251	0
20	24	0.274	0.104	24	13	0	4	0.274	0
20	26	0.267	0.092	26	13	0	2	0.267	0
20	28	0.234	0.078	28	12	0	0	0.234	0
20	30	0.22	0.077	30	13	0	2	0.22	0
20	32	0.211	0.078	29	13	0	4	0.211	0
20	34	0.216	0.082	28	13	0	6	0.216	0
20	36	0.226	0.096	28	13	0	8	0.226	0
20	38	0.23	0.097	28	13	0	10	0.23	0
20	40	0.259	0.106	27	13	0	10	0.259	0
20	42	0.243	0.099	26	13	0	8	0.243	0
20	44	0.221	0.095	27	13	0	6	0.221	0
20	46	0.208	0.082	26	13	0	4	0.208	0
22	18	0.276	0.113	26	13	2	2	0.276	0
