#  Z   A El rea   betaSLO  DbetaSLO  betaSMLO DbetaSMLO   betadef   betapri  betayush   betaRam  DbetaRam  betaSLOn    DbSLOn betaSMLOn   DbSMLOn
  76 186 Os 7      0.1867    0.0139   -0.1683    0.0123    0.2050    0.2056    0.2050    0.2000    0.0034    0.1810    0.0122   -0.1700    0.0131
  76 188 Os 5      0.1810    0.0477   -0.1669    0.0424    0.1790    0.1844    0.1930    0.1862    0.0018    0.1756    0.0417   -0.1685    0.0456
  76 188 Os 9      0.1770    0.0086   -0.1649    0.0074    0.1790    0.1844    0.1930    0.1862    0.0018    0.1718    0.0077   -0.1665    0.0080
  76 190 Os 5     -0.1630    0.0639   -0.1654    0.0381    0.1530    0.1777    0.1750    0.1775    0.0023   -0.1645    0.0715   -0.1669    0.0422
  76 190 Os 9      0.1504    0.0125   -0.1405    0.0105    0.1530    0.1777    0.1750    0.1775    0.0023    0.1464    0.0113   -0.1414    0.0112
  90 232 Th 0      0.2804    0.0321    0.2740    0.0392    0.2310    0.2571    0.2420    0.2608    0.0014    0.2690    0.0272    0.2630    0.0306
  90 232 Th 4      0.2795    0.0116   -0.2464    0.0167    0.2310    0.2571    0.2420    0.2608    0.0014    0.2681    0.0099   -0.2511    0.0179
  90 232 Th 4      0.2737    0.0458   -0.1433    0.0607    0.2310    0.2571    0.2420    0.2608    0.0014    0.2627    0.0365   -0.1443    0.0625
  90 232 Th 5      0.2774    0.0220   -0.2490    0.0252    0.2310    0.2571    0.2420    0.2608    0.0014    0.2661    0.0187   -0.2539    0.0278
  90 232 Th 10     0.2719    0.0041    0.2729    0.0042    0.2310    0.2571    0.2420    0.2608    0.0014    0.2610    0.0037    0.2619    0.0034
  92 234 U  4      0.2705    0.0122    0.2747    0.0124    0.2410    0.2662    0.2240    0.2718    0.0026    0.2597    0.0105    0.2637    0.0101
  92 234 U  11     0.2987    0.0070    0.3014    0.0074    0.2410    0.2662    0.2240    0.2718    0.0026    0.2859    0.0056    0.2884    0.0057
  92 236 U  4      0.2763    0.0089    0.2759    0.0092    0.2380    0.2741    0.2190    0.2821    0.0018    0.2651    0.0077    0.2647    0.0074
  92 236 U  10     0.2779    0.0063    0.2808    0.0062    0.2380    0.2741    0.2190    0.2821    0.0018    0.2666    0.0055    0.2693    0.0052
  92 238 U  0      0.3035    0.0217    0.3000    0.0233    0.2360    0.2741    0.2200    0.2863    0.0024    0.2904    0.0183    0.2871    0.0183
  92 238 U  4      0.3032    0.0055    0.2989    0.0065    0.2360    0.2741    0.2200    0.2863    0.0024    0.2901    0.0047    0.2861    0.0051
  92 238 U  4      0.2935    0.0069    0.2940    0.0070    0.2360    0.2741    0.2200    0.2863    0.0024    0.2811    0.0058    0.2815    0.0056
  92 238 U  5      0.2923    0.0139    0.2931    0.0140    0.2360    0.2741    0.2200    0.2863    0.0024    0.2800    0.0120    0.2807    0.0113
  92 238 U  2      0.2934    0.0042    0.2998    0.0035    0.2360    0.2741    0.2200    0.2863    0.0024    0.2810    0.0037    0.2870    0.0029
