#Z	A	N	Beta
76	176	100	0.206
76	178	102	0.209
76	180	104	0.209
76	182	106	0.213
76	184	108	0.219
76	186	110	0.205
76	188	112	0.193
76	190	114	0.175
76	192	116	0.167
78	178	100	0.211
78	180	102	0.218
78	182	104	0.221
78	184	106	0.216
78	186	108	0.199
78	188	110	0.169
78	190	112	0.16
78	192	114	0.155
78	194	116	0.152
78	196	118	0.146
78	198	120	0.136
80	184	104	0.0942
80	186	106	0.0896
80	188	108	0.0888
80	190	110	0.0884
80	192	112	0.0877
80	194	114	0.0872
80	196	116	0.0874
80	198	118	0.0889
80	200	120	0.094
80	202	122	0.086
80	204	124	0.0863
80	206	126	0.0552
82	194	112	0.0338
82	196	114	0.0324
82	198	116	0.0322
82	200	118	0.0327
82	202	120	0.0338
82	204	122	0.035
82	206	124	0.037
82	208	126	0.0
82	210	128	0.0371
82	212	130	0.037
82	214	132	0.0362
84	200	116	0.0405
84	202	118	0.0403
84	204	120	0.04
84	206	122	0.0395
84	208	124	0.0399
84	210	126	0.0305
84	212	128	0.0388
84	214	130	0.0424
84	216	132	0.0446
84	218	134	0.0462
86	206	120	0.076
86	208	122	0.0
86	210	124	0.0752
86	212	126	0.0536
86	214	128	0.0
86	216	130	0.0885
86	218	132	0.106
86	220	134	0.123
86	222	136	0.14
92	218	126	0.0425
88	216	128	0.0602
88	218	130	0.0
88	220	132	0.119
88	222	134	0.15
88	224	136	0.172
88	226	138	0.192
88	228	140	0.206
90	224	134	0.176
90	226	136	0.2
90	228	138	0.224
90	230	140	0.233
90	232	142	0.242
90	234	144	0.242
92	228	136	0.192
92	230	138	0.205
92	232	140	0.214
92	234	142	0.224
92	236	144	0.219
92	238	146	0.22
92	240	148	0.22
94	236	142	0.268
94	238	144	0.27
94	240	146	0.274
94	242	148	0.269
94	244	150	0.267
96	238	142	0.349
96	240	144	0.326
96	242	146	0.318
100	248	148	0.318
96	244	148	0.315
96	246	150	0.315
96	248	152	0.313
96	250	154	0.315
98	244	146	0.367
98	246	148	0.367
98	248	150	0.358
98	250	152	0.355
102	252	150	0.343
100	248	148	0.352
100	250	150	0.352
100	252	152	0.0
100	254	154	0.348
100	256	156	0.337
102	252	150	0.0
